date,apy,tvl_usd
2025-01-28,6.49021,865140521
2025-01-29,6.38666,884176355
2025-01-30,6.06483,963567942
2025-01-31,5.59762,1028663186
2025-02-01,5.62673,1015177093
2025-02-02,5.79945,951522089
2025-02-03,6.93445,709702796
2025-02-04,6.65618,767594090
2025-02-05,6.41252,816855309
2025-02-06,6.18477,875376450
2025-02-07,6.08473,900226096
2025-02-08,5.44472,1078159414
2025-02-09,5.43506,1073238220
2025-02-10,4.93727,1189114805
2025-02-11,4.05593,1172306629
2025-02-12,4.05785,1186204135
2025-02-13,4.1902,1144517915
2025-02-14,3.69629,1323306178
2025-02-15,3.72254,1311061288
2025-02-16,3.74277,1300849848
2025-02-17,3.75508,1298983103
2025-02-18,3.79356,1272088259
2025-02-19,3.70619,1308601029
2025-02-20,3.7102,1324257791
2025-02-21,4.44897,1046956955
2025-02-22,5.12156,791589204
2025-02-23,4.11329,1147248955
2025-02-24,4.17792,1142958733
2025-02-25,3.97986,1207127913
2025-02-26,3.52677,1381611298
2025-02-27,3.28426,1465607459
2025-02-28,3.35155,1371503447
2025-03-01,3.19872,1450574867
2025-03-02,3.23862,1460621166
2025-03-03,3.38523,1368792991
2025-03-04,3.31658,1377229826
2025-03-05,3.36741,1359223248
2025-03-06,3.47455,1314358555
2025-03-07,3.37992,1275101345
2025-03-08,3.33949,1287092271
2025-03-09,3.29253,1313899441
2025-03-10,2.7487,1438684535
2025-03-11,2.68137,1449598541
2025-03-12,2.66124,1469565644
2025-03-13,2.66073,1457756564
2025-03-14,2.71276,1436295466
2025-03-15,2.76348,1417195714
2025-03-16,2.64882,1401817368
2025-03-17,2.67594,1397953012
2025-03-18,2.64739,1416482153
2025-03-19,3.7794,606834433
2025-03-20,3.43485,733007744
2025-03-21,2.89412,965121805
2025-03-22,2.4947,1183556485
2025-03-23,2.22286,1374020408
2025-03-24,2.36524,1349052083
2025-03-25,2.48828,1300584374
2025-03-26,2.66265,1208502324
2025-03-27,2.65128,1218737894
2025-03-28,2.37418,1348507964
2025-03-29,2.15617,1373060510
2025-03-30,3.91343,474677736
2025-03-31,3.23464,712062448
2025-04-01,2.99238,815858813
2025-04-02,2.98455,811603542
2025-04-03,2.70048,972062426
2025-04-04,2.66334,989654380
2025-04-05,2.27714,1224223408
2025-04-06,2.27763,1226385931
2025-04-07,1.84214,1476778396
2025-04-08,1.8456,1478833688
2025-04-09,1.76389,1534565654
2025-04-10,1.71725,1579783664
2025-04-11,1.75322,1532144136
2025-04-12,2.2419,1112971929
2025-04-13,1.89676,1421020008
2025-04-14,1.71142,1604573687
2025-04-15,1.84808,1509272109
2025-04-16,2.0652,1383480469
2025-04-17,2.022,1409751090
2025-04-18,2.07613,1388744022
2025-04-19,2.14353,1356578416
2025-04-20,2.06608,1419358244
2025-04-21,3.38732,649638740
2025-04-22,3.12083,793935007
2025-04-23,2.26266,1288944304
2025-04-24,2.03485,1470732350
2025-04-25,2.55469,1198296929
2025-04-26,2.16224,1389691779
2025-04-27,1.948,1609620258
2025-04-28,1.81985,1705894137
2025-04-29,1.93317,1637681724
2025-04-30,1.98328,1619840318
2025-05-01,2.3849,1393301909
2025-05-02,2.5014,1339017696
2025-05-03,2.30768,1454735836
2025-05-04,2.19402,1561737325
2025-05-05,2.40871,1438629464
2025-05-06,2.29722,1521590200
2025-05-07,3.84077,473806792
2025-05-08,3.05495,847264383
2025-05-09,2.77826,1071790563
2025-05-10,2.75911,1126912949
2025-05-11,3.06912,972186456
2025-05-12,3.74162,660532400
2025-05-13,3.712,688370733
